UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	3097
2	1900
0	3841
138	3846
0	3282
21	2940
11	2609
0	765
0	3841
2	1
0	8
0	16
0	16
2	4
1	10
0	0
0	2
0	2
5	1
0	0
0	2
0	0
0	0
0	0
0	0
499	228
0	220
60	4908
6	4110
4	2664
0	2133
0	1063
0	1573
0	460
4	4021
0	0
0	0
0	0
0	0
0	0
0	50
0	2
0	4
0	4
0	1
0	1
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1260
0	1771
6	344
1	4461
0	2356
5	153
1	1526
9	0
0	574
6	216
12	1761
0	1009
9	46
0	681
0	4474
0	0
0	0
4	4644
1	6958
14	18135
2	19686
1	9608
4	2367
4	4459
0	2111
8	1046
0	22
0	0
0	0
19	440
1	428
2	432
0	432
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	13
0	8
0	10
0	30
0	30
0	44977
89	12611
9	9854
6	3636
37	3489
12	4257
28	4676
17	45275
0	2561
0	2608
1	2
4	2562
0	4831
0	4779
0	4825
0	4660
0	2452
0	4398
0	4728
0	4272
0	4272
0	4035
0	2539
0	3921
0	4140
0	4116
0	3801
0	3891
0	4315
0	4130
0	3691
0	3875
0	4095
0	4049
0	4153
0	3877
0	3879
0	3709
0	3790
0	3720
0	4032
0	3665
0	4005
0	3940
0	3823
0	4057
3	1700
0	3670
0	3648
0	3234
0	3629
0	2359
0	3626
0	3645
0	3432
0	3551
0	3535
0	3784
0	3409
0	3370
0	3618
